bg_name,bg_id,model_name,model_id,modeltype_name,modeltype_id,model_subid,image_path,frame_index,model_width,model_height,tl_x,tl_y,bl_x,bl_y,br_x,br_y,tr_x,tr_y
background01,0,datasheet001,0,datasheet,0,0,background01/datasheet001/frame_0023.jpeg,23,2100.0,2970.0,650.735,207.418,652.135,881.292,1198.92,848.999,1120.58,189.097
background01,0,datasheet001,0,datasheet,0,0,background01/datasheet001/frame_0036.jpeg,36,2100.0,2970.0,558.139,215.332,558.179,896.65,1112.42,849.798,1032.05,185.507
background01,0,datasheet001,0,datasheet,0,0,background01/datasheet001/frame_0042.jpeg,42,2100.0,2970.0,517.257,204.952,519.65,886.497,1074.9,837.349,994.74,175.498
background01,0,datasheet001,0,datasheet,0,0,background01/datasheet001/frame_0048.jpeg,48,2100.0,2970.0,528.901,191.681,526.49,877.197,1083.52,837.221,1008.71,169.622
background01,0,datasheet001,0,datasheet,0,0,background01/datasheet001/frame_0059.jpeg,59,2100.0,2970.0,657.687,169.513,627.402,862.425,1190.07,856.773,1140.85,177.407
background01,0,datasheet001,0,datasheet,0,0,background01/datasheet001/frame_0082.jpeg,82,2100.0,2970.0,742.654,174.454,815.754,866.535,1358.57,805.156,1216.84,146.287
background01,0,datasheet001,0,datasheet,0,0,background01/datasheet001/frame_0085.jpeg,85,2100.0,2970.0,771.283,172.539,859.003,860.72,1399.42,797.03,1244.09,140.841
background01,0,datasheet001,0,datasheet,0,0,background01/datasheet001/frame_0099.jpeg,99,2100.0,2970.0,843.496,171.726,946.848,842.22,1468.5,773.253,1300.1,138.9
background01,0,datasheet001,0,datasheet,0,0,background01/datasheet001/frame_0114.jpeg,114,2100.0,2970.0,881.821,186.736,987.872,838.848,1499.57,773.536,1326.52,154.955
background01,0,datasheet001,0,datasheet,0,0,background01/datasheet001/frame_0126.jpeg,126,2100.0,2970.0,850.075,195.604,935.096,849.595,1451.59,793.112,1297.06,169.285
background01,0,datasheet001,0,datasheet,0,0,background01/datasheet001/frame_0146.jpeg,146,2100.0,2970.0,782.13,160.659,784.581,816.35,1322.7,804.926,1242.57,165.293
background01,0,datasheet001,0,datasheet,0,0,background01/datasheet001/frame_0170.jpeg,170,2100.0,2970.0,710.949,183.588,666.54,836.665,1217.49,839.021,1173.83,187.564
background01,0,datasheet001,0,datasheet,0,0,background01/datasheet001/frame_0171.jpeg,171,2100.0,2970.0,709.788,185.731,663.069,838.101,1214.83,841.97,1173.5,191.212
background01,0,datasheet001,0,datasheet,0,0,background01/datasheet001/frame_0209.jpeg,209,2100.0,2970.0,729.921,189.312,696.491,834.948,1258.45,835.319,1192.77,197.372
background01,0,datasheet001,0,datasheet,0,0,background01/datasheet001/frame_0210.jpeg,210,2100.0,2970.0,734.137,188.539,701.554,835.012,1264.22,836.1,1197.71,197.311
background01,0,datasheet001,0,datasheet,0,0,background01/datasheet001/frame_0217.jpeg,217,2100.0,2970.0,772.643,180.319,750.052,825.649,1314.26,825.636,1236.79,189.804
background01,0,datasheet001,0,datasheet,0,0,background01/datasheet001/frame_0222.jpeg,222,2100.0,2970.0,779.361,169.112,767.17,819.399,1331.16,816.168,1244.68,178.189
background01,0,datasheet001,0,datasheet,0,0,background01/datasheet001/frame_0224.jpeg,224,2100.0,2970.0,782.393,177.441,771.867,825.123,1334.91,819.856,1246.23,185.111
background01,0,datasheet002,1,datasheet,0,1,background01/datasheet002/frame_0027.jpeg,27,2100.0,2970.0,699.556,216.378,804.04,840.354,1310.61,760.135,1134.34,182.608
background01,0,datasheet002,1,datasheet,0,1,background01/datasheet002/frame_0030.jpeg,30,2100.0,2970.0,716.704,218.763,834.648,840.951,1337.26,755.362,1149.17,181.907
background01,0,datasheet002,1,datasheet,0,1,background01/datasheet002/frame_0033.jpeg,33,2100.0,2970.0,724.106,217.96,850.245,842.519,1350.59,752.851,1155.45,180.008
background01,0,datasheet002,1,datasheet,0,1,background01/datasheet002/frame_0043.jpeg,43,2100.0,2970.0,769.142,204.863,932.925,820.374,1413.85,720.025,1190.86,160.583
background01,0,datasheet002,1,datasheet,0,1,background01/datasheet002/frame_0065.jpeg,65,2100.0,2970.0,820.979,215.53,945.991,833.159,1435.82,755.129,1242.99,185.132
background01,0,datasheet002,1,datasheet,0,1,background01/datasheet002/frame_0069.jpeg,69,2100.0,2970.0,790.258,218.018,891.65,838.917,1395.44,771.902,1219.84,192.658
background01,0,datasheet002,1,datasheet,0,1,background01/datasheet002/frame_0070.jpeg,70,2100.0,2970.0,785.669,215.289,876.655,838.835,1387.55,776.278,1219.04,192.365
background01,0,datasheet002,1,datasheet,0,1,background01/datasheet002/frame_0075.jpeg,75,2100.0,2970.0,744.16,203.05,773.039,838.728,1311.78,806.014,1194.15,197.294
background01,0,datasheet002,1,datasheet,0,1,background01/datasheet002/frame_0080.jpeg,80,2100.0,2970.0,696.416,183.693,663.6,820.112,1216.87,821.871,1154.03,203.03
background01,0,datasheet002,1,datasheet,0,1,background01/datasheet002/frame_0111.jpeg,111,2100.0,2970.0,655.284,218.876,589.883,794.255,1117.5,801.9,1085.27,233.338
